cme_id,speed,type,linked_events,start time
2011-09-10T03:54:00-CME-001,603.0,C,,"09/10/2011, 03:54:00"
2011-09-10T10:24:00-CME-001,899.0,C,,"09/10/2011, 10:24:00"
2011-09-11T06:12:00-CME-001,713.0,C,,"09/11/2011, 06:12:00"
2011-09-13T12:48:00-CME-001,680.0,C,[{'activityID': '2011-09-17T10:00:00-IPS-001'}],"09/13/2011, 12:48:00"
2011-09-14T01:54:00-CME-001,600.0,C,"[{'activityID': '2011-09-17T02:56:00-IPS-001'}, {'activityID': '2011-09-17T13:30:00-GST-001'}]","09/14/2011, 01:54:00"
2011-09-14T22:09:00-CME-001,520.0,C,,"09/14/2011, 22:09:00"
2011-09-17T00:00:00-CME-001,630.0,C,,"09/17/2011, 00:00:00"
2011-09-19T02:09:00-CME-001,355.0,S,,"09/19/2011, 02:09:00"
2011-09-19T06:54:00-CME-001,720.0,C,[{'activityID': '2011-09-22T03:00:00-IPS-001'}],"09/19/2011, 06:54:00"
2011-09-19T07:24:00-CME-001,640.0,C,,"09/19/2011, 07:24:00"
2011-09-19T10:24:00-CME-001,620.0,C,[{'activityID': '2011-09-21T06:30:00-IPS-001'}],"09/19/2011, 10:24:00"
2011-09-19T17:06:00-CME-001,458.0,S,,"09/19/2011, 17:06:00"
2011-09-21T22:24:00-CME-001,1500.0,O,"[{'activityID': '2011-09-22T10:24:00-IPS-001'}, {'activityID': '2011-09-24T08:00:00-IPS-001'}]","09/21/2011, 22:24:00"
2011-09-22T11:24:00-CME-001,1000.0,O,"[{'activityID': '2011-09-22T10:29:00-FLR-001'}, {'activityID': '2011-09-24T04:00:00-IPS-001'}]","09/22/2011, 11:24:00"
2011-09-22T14:10:00-CME-001,1150.0,O,[{'activityID': '2011-09-24T09:06:00-IPS-001'}],"09/22/2011, 14:10:00"
2011-09-23T22:39:00-CME-001,637.0,C,,"09/23/2011, 22:39:00"
2011-09-24T10:24:00-CME-001,634.0,C,,"09/24/2011, 10:24:00"
2011-09-24T13:09:00-CME-001,1507.0,O,"[{'activityID': '2011-09-26T12:10:00-IPS-001'}, {'activityID': '2011-09-26T13:00:00-MPC-001'}, {'activityID': '2011-09-26T16:44:00-GST-001'}]","09/24/2011, 13:09:00"
2011-09-24T22:00:00-CME-001,700.0,C,[{'activityID': '2011-09-28T20:30:00-IPS-001'}],"09/24/2011, 22:00:00"
2011-09-25T01:54:00-CME-001,500.0,C,,"09/25/2011, 01:54:00"
2011-09-25T03:39:00-CME-001,681.0,C,,"09/25/2011, 03:39:00"
